County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Dyfed	Wales		1	8	2	11		Aberystwyth juniors|	Aberystwyth|Llyn Llech Owain|Haverfordwest|Colby|Llanerchaeron|Milford Waterfront|Sandy Water|Teifi Marshes Nature Reserve|	Carmarthen juniors|Peoples Park juniors|
East Ayrshire	Scotland			1		1			Dean Castle Country Park|	
East Lothian	Scotland		1	3		4		Archerfield Walled Garden juniors|	Meadowmill|Lochend Woods|Whitekirk Hill|	
East Renfrewshire	Scotland		1			1		Rouken Glen juniors|		
East Sussex	England	7	3	4	3	17	Brighton & Hove|Eastbourne|Peacehaven|Preston Park|Bevendean Down|East Brighton|Malling Rec|	Peacehaven juniors|Preston Park juniors|Hove Park juniors|	Hastings|Hove Promenade|Seaford Beach|Uckfield|	Eastbourne juniors|Battle Recreation Ground juniors|Queen’s Park juniors, Brighton|
East Yorkshire	England	7	1		2	10	Hull|Sewerby|Peter Pan|Goole|Humber Bridge|Beverley Westwood|Withernsea Promenade|	Alderman Kneeshaw juniors|		Peter Pan juniors|King George Playing Fields juniors|
Edinburgh	Scotland	3	2	1		6	Edinburgh|Portobello|Oriam|	The Meadows juniors|Inverleith juniors|	Holyrood|	
Essex	England	14	10	10	4	38	Hadleigh|Basildon|Roding Valley|Colchester Castle|Chelmsford Central|Clacton Seafront|Brentwood|Great Notley|Hockley Woods|Harwich|Thurrock|South Woodham Ferrers|Highwoods|Chalkwell Beach|	Harlow juniors|Hawkwell juniors|Chelmsford juniors|Great Notley juniors|Clacton juniors|Roding Valley juniors|Lake Meadows juniors|Northlands juniors|Hutton Recreation Ground juniors|Great Wakering Rec juniors|	Burnham-on-Crouch|Maldon Prom|Billericay|Gunpowder|Southend|Harlow|Mersea Island|Great Dunmow|Wickford Memorial|Markshall Estate|	Colchester juniors|Maldon Prom juniors|Cliff Park juniors|Burnham Riverside juniors|
Falkirk	Scotland	1	1			2	Falkirk|	Helix juniors|		
Fermanagh	Northern Ireland		1	1		2		Broadmeadow juniors|	Enniskillen|	
Fife	Scotland	4	2		1	7	St Andrews|Kirkcaldy|Dunfermline|Lochore Meadows|	Duloch juniors|Cotlands Park juniors|		Fife Cycle Park juniors|
Galway	Ireland	1	1	8	1	11	Inis Meáin|	Oranmore juniors|	Knocknacarra|Oranmore|Oughterard|Portumna|Clonbur Woods|Coole|Mountbellew Forest|University of Galway|	Westside Playing Fields juniors|
Glasgow City	Scotland	8	4			12	Pollok|Tollcross|Victoria|Ruchill|Springburn|Drumchapel|Queen’s, Glasgow|Elder Park|	Victoria juniors, Glasgow|Elder Park juniors|Springburn juniors|King’s Park juniors|		
Gloucestershire	England	2	4	18	3	27	Kingsway|Gloucester North|	Page Park juniors|Little Stoke juniors|Wotton Community PARC juniors|Winchcombe juniors|	Forest of Dean|Thornbury|Stonehouse|Wotton|Cheltenham|Newent|Chipping Sodbury|Pomphrey Hill|Tewkesbury|Lydney|Cirencester|Gloucester City|Tetbury Goods Shed|Stratford Park, Stroud|Mallards Pike|King George V Playing Field|Berkeley Green|Three Brooks|	Forest of Dean juniors|Cheltenham juniors|Stonehouse juniors|
Greater London	England	23	34	41	10	108	Roundshaw Downs|Finsbury Park|Bromley|Bexley|Greenwich|Brockwell|Beckenham Place|Highbury Fields|Lloyd|South Norwood|Riddlesdown|Wormwood Scrubs|Hoblingwell|Dulwich|Beckton|Orpington|Barking|Southwark|Northala Fields|Victoria Dock|Foots Cray Meadows|Bethlem Royal Hospital|Lordship Recreation Ground|	Lloyd juniors|London Fields juniors|Bushy juniors|Acton juniors|Hilly Fields juniors|Wimbledon Park juniors|Harrow Lodge juniors|Brockwell juniors|Mile End juniors|Burgess juniors|Pitshanger juniors|Highbury Fields juniors|Lesnes Abbey Woods juniors|Bromley juniors|Surbiton juniors|Eltham juniors|Hanworth juniors|Priory Park juniors|Friary Park juniors|Paddington Rec juniors|Leyton Jubilee juniors|Tooting Common juniors|Northala Fields juniors|Hoblingwell juniors|Caledonian juniors|Latchmere Rec juniors|Kennington Park juniors|Beckenham Place juniors|Figges Marsh juniors|Lordship Rec Ground juniors|Lovelace Primary School juniors|Battersea juniors|Hornfair Park juniors|Wilson’s School juniors|	Bushy Park|Wimbledon Common|Richmond Park|Bedfont Lakes|Harrow|Grovelands|Hackney Marshes|Old Deer Park|Hampstead Heath|Kingston|Crystal Palace|Valentines|Oak Hill|Gunnersbury|Wanstead Flats|Pymmes|Raphael|Ally Pally|Mile End|Gladstone|Crane Park|Hilly Fields|Burgess|Harrow Lodge|Walthamstow|Canons Park|Osterley|Fulham Palace|Peckham Rye|Tooting Common|Clapham Common|Catford|Sunny Hill|Hanworth|Sutcliffe|Charlton|Southall|Stockley Country|Thames Path, Woolwich|Morden|Battersea|	Queen’s Park juniors, London|Osterley juniors|Crystal Palace juniors|Moormead juniors|Kenton Rec juniors|Enfield Town juniors|Pinner Village Gardens juniors|Peckham Rye juniors|Barking juniors|Forster Memorial Park juniors|
Greater Manchester	England	7	14	17	2	40	Heaton Park|Woodbank|Hyde|Wythenshawe|Stamford Park|Chadderton Hall|Sale Water|	Queen’s Park juniors, Rochdale|Queen’s Park juniors, Bolton|Salford juniors|Hyde juniors|Marple juniors|South Manchester juniors|Alexandra juniors, Oldham|Uppermill juniors|Seymour Park juniors|Alexandra juniors, Moss Side|Milnrow Memorial Park juniors|Salisbury Field juniors|Victoria juniors, Stretford|Falinge Park juniors|	Bramhall Park|South Manchester|Oldham|Pennington Flash|Bolton|Worsley Woods|Marple|Burnage|Cheadle Hulme|Watergrove|Haigh Woodland|Stretford|Fletcher Moss|Alexandra|Peel|Philips Park|Clarence|	Ramsbottom juniors|Leigh juniors|
Gwent	Wales		1	11	6	18		Pontypool juniors|	Riverfront|Newport|Bryn Bach|Penallta|Pontypool|Cwmbran|Rogiet|Severn Bridge|Aberbeeg|Coed Cefn-pwll-du|Chippenham Playing Fields, Monmouth|	Penallta juniors|Bryn Bach juniors|Newport juniors|Bailey juniors|Dixton juniors|Rogiet juniors|
Gwynedd	Wales			7	1	8			Penrhyn|Dolgellau|Newborough Forest|Nant y Pandy|Hafan Pwllheli|Pont y Bala|Y Promenâd, Abermaw|	Plas Newydd juniors|
Hampshire	England	5	8	18	6	37	Whiteley|Lee-on-the-Solent|Portsmouth Lakeside|Fareham|Great Salterns|	Stokes Bay juniors|Southampton juniors|Eastney juniors|Waterlooville juniors|New Milton juniors|Hogmoor Inclosure juniors|Dowds Farm juniors|Gang Warily juniors|	Basingstoke|Southampton|Andover|Southsea|Havant|Eastleigh|Lymington Woodside|Winchester|Netley Abbey|Alice Holt|Brockenhurst|Queen Elizabeth|Rushmoor|Hogmoor Inclosure|Itchen Valley Country|Bartley Park|Edenbrook Country|Ganger Farm|	Andover juniors|Netley Abbey juniors|Basingstoke juniors|Winchester juniors|Queen’s Parade juniors, Aldershot|Southampton Common juniors|
Herefordshire	England	1		2	1	4	Hereford|		Ludlow|Ross-on-Wye|	Hereford Leisure Centre juniors|
Hertfordshire	England	6	7	8	11	32	St Albans|Stevenage|Gadebridge|Panshanger|Castle Park|Letchworth|	Stevenage juniors|Grange Paddocks juniors|Verulamium juniors|Ashlyns juniors|Cassiobury juniors|King George V Playing Field juniors|Katherine Warington School juniors|	Rickmansworth|Westmill|South Oxhey|Cassiobury|Barclay|Aldenham|Jersey Farm|Leavesden Country|	Beehive juniors|Leavesden juniors|Pinehill juniors|Cheshunt juniors|Hertford juniors|King George juniors|Gadebridge Park juniors|Norton Common juniors|Furzefield Leisure Centre juniors|Birchwood Leisure Centre juniors|Norfolk Road Playing Fields juniors |
Highland	Scotland	6	2			8	Aviemore|Alness|Thurso|Fort William|Torvean|Skinadin|	Torvean juniors|Millbank Boating Pond juniors|		
Inverclyde	Scotland	1	1			2	Greenock|	Battery Park juniors|		
Isle of Wight	England			1	1	2			Medina I.O.W.|	Medina I.O.W juniors|
Kent	England	18	12	7	3	40	Maidstone River Park|Ashford|Canterbury|Royal Tunbridge Wells|Whitstable|Margate|Pegwell Bay|Great Lines|Tonbridge|Dartford|Lullingstone|Leybourne Lakes|Sittingbourne|Walmer and Deal Seafront|Cyclopark|Squerryes Winery|The Leas|Mote Park|	Margate juniors|Tonbridge juniors|Whitstable juniors|Gravesend juniors|Goudhurst juniors|Manor Park juniors|Ashford juniors|Dartford juniors|Faversham Recreation Ground juniors|Herne Bay Memorial Park juniors|Mote Park juniors|Swanscombe Heritage Park juniors|	Shorne Woods|Folkestone|Dartford Heath|Bedgebury Pinetum|Kingdom|Swanley|Dover Waterfront|	Medway juniors|Betteshanger juniors|Radnor Park juniors|
Kerry	Ireland	3	2	2		7	Tralee|Inch Beach|Fenit Greenway|	Tralee juniors|Killarney House juniors|	Listowel|Killarney House|	
Kildare	Ireland	2				2	Naas|Royal Canal, Kilcock|			
Kilkenny	Ireland			1		1			Kilkenny|	
Lancashire	England	4	8	10	4	26	Hyndburn|Burnley|Pendle|Clitheroe Castle|	Burnley juniors|Clitheroe Castle juniors|Padiham Greenway juniors|Worden Park juniors|Anchorsholme juniors|Ryelands Park juniors|Coronation Park juniors|Victoria Park juniors, Haslingden|	Preston|Ormskirk|Witton|Lytham Hall|Lancaster|Blackpool|Fleetwood Promenade|Morecambe Prom|Tawd Valley|Worden|	Skelmersdale juniors|Avenham Park juniors|Park View juniors|Witton Park juniors|
Laois	Ireland		1	1		2		Vicarstown juniors|	Vicarstown|	
Leicestershire	England	7	2	6	3	18	Braunstone|Market Harborough|Conkers|Melton Mowbray|Leicester Victoria|Dishley, Loughborough|Abbey Park|	Market Harborough juniors|Lutterworth Country Park juniors|	Watermead Country Park|Belvoir Castle|Hastings High School|Market Bosworth Country Park|Beacon Hill Country Park|Sence Valley Forest Park|	Aylestone juniors|Play Close Park juniors|Watermead Country Park juniors|
Leitrim	Ireland			2		2			Ballinamore Greenway|Glenfarne Wood|	
Limerick	Ireland	2	1	1		4	Limerick|Mungret|	Shelbourne juniors|	Newcastle West|	
Lincolnshire	England	11	1	2	4	18	Boston|Lincoln|Scunthorpe|Cleethorpes|Market Rasen Racecourse|Snowden Field|Doddington Hall|Ancholme Valley Way|Yarborough Leisure Centre|Baysgarth Park|Thonock Lane Farm|	Boultham Park juniors|	Normanby Hall|Belton House|	Wyndham juniors|Boston Road Rec juniors|Brumby Wood Rec Ground juniors|Central Park juniors, Boston|
Longford	Ireland		1	1		2		Longford juniors|	Longford|	
Louth	Ireland		1	1		2		Dundalk IT juniors|	Dundalk|	
Mayo	Ireland			6		6			Westport|Castlebar|Ballina|Erris|Claremorris|Achill Greenway|	
Meath	Ireland	2		3		5	Navan|Deerpark, Carlanstown|		Oldbridge|Porch Field|Laytown Beach|	
Merseyside	England		2	9	5	16		Stanley Park juniors|Wirral Country Park juniors|	Knowsley|St Helens|Southport|Princes|Croxteth Hall|Birkenhead|Crosby|Kew Woods|Sutton Manor|	The Mystery juniors|Derby Park juniors|Victoria juniors, St Helens|Hesketh Park juniors|Norris Green Park juniors|
Mid Glamorgan	Wales		3	6	1	10		Bridgend juniors|Merthyr Leisure Village juniors|Porthcawl Promenade juniors|	Merthyr|Maesteg|Pontypridd|Porthcawl|Aberdare|Aberfields|	Pontypridd juniors|
Mid Ulster	Northern Ireland			1		1			The Fisherman‘s Walk|	
Midlothian	Scotland			1		1			Vogrie|	
Monaghan	Ireland			2		2			Castleblayney|Monaghan Town|	
Moray	Scotland	1			1	2	Elgin|			Cooper Park juniors|
Newry Mourne and Down	Northern Ireland			1		1			Montalto Estate|	
Norfolk	England	20	1	1	7	29	Gorleston Cliffs|Norwich|King’s Lynn|Colney Lane|Sheringham|Thetford|Catton|Blickling|Brundall|Holkham|Swaffham|Lingwood|Sloughbottom|Hunstanton Promenade|Great Yarmouth North Beach|Flegg High|Sandringham|North Walsham|Downham Market Academy|Dereham|	Breckland Leisure Centre juniors|	Loch Neaton|	Eaton juniors|Gorleston juniors|King’s Lynn juniors|Lea Bridges juniors|Blickling juniors|Waterloo Park juniors|Watton Sports Centre juniors|
North Ayrshire	Scotland	1		1	1	3	Largs Prom|		Eglinton|	Jacks Road juniors|
North Lanarkshire	Scotland	3	1			4	Strathclyde|Drumpellier Country|Palacerigg Country|	Drumpellier juniors|		
North Yorkshire	England	16	5	3	5	29	Albert|York|Harrogate|Redcar|Stewart|Skipton|Flatts Lane|Northallerton|Heslington|Dalby Forest|Selby|Marshall Drive|Conyngham Hall|Millfield|The Cinder Track|North Yorkshire Water Park|	Harrogate juniors|Knavesmire juniors|Redcar juniors|Millfield juniors|Albert Park juniors|	Fountains Abbey|New Earswick|Thorp Perrow|	Hemlington Lake juniors|Northallerton juniors|Brayton Academy juniors|The Station Yard juniors|Community Park juniors|
Northamptonshire	England		1	11	5	17		Wicksteed juniors|	Northampton|Kettering|Corby|Daventry|Sixfields Upton|Watermeadows|Salcey Forest|Irchester Country|Brixworth Country|University of Northampton|The Plens|	Desborough Green Space juniors|Northampton Racecourse juniors|Spencer Park juniors|Daventry Country Park juniors|Croyland Park juniors|
Northumberland	England	2	1	6	2	11	Prudhoe Riverside|Tyne Green|	Prudhoe Riverside juniors|	Newbiggin-by-the-Sea|Druridge Bay|The Pastures|Blyth Links|Carlisle Park|Ashington Community Woodland|	South Beach Estate juniors|Tyne Green juniors|
Nottinghamshire	England	7	5	6	4	22	Colwick|Bestwood Village|Mansfield|Brierley Forest|Rushcliffe|Forest Rec|Gedling|	Forest Rec juniors|Rushcliffe juniors|Gedling juniors|Newark juniors|Worksop College juniors|	Newark|Clumber Park|Beeston|Sherwood Pines|Clifton|Wollaton Hall|	Hucknall juniors|Dukeries juniors|Sutton Lawn juniors|Berry Hill juniors|
Offaly	Ireland			2		2			Mountlucas|The Grand Canal Way|	
Orkney Islands	Scotland	1				1	Kirkwall|			
Oxfordshire	England			12	9	21			Banbury|Oxford|Henley-on-Thames|Abingdon|Didcot|Harcourt Hill|Bicester|Witney|Chipping Norton School|Horspath|Grove Fields|University Parks|	Harcourt Hill juniors|Florence Park juniors|Whitelands Farm juniors|Millennium Green juniors|Wood Green juniors|Park Hill Recreation Ground juniors|Kingsgrove Woodland juniors|Spiceball Country Park juniors|Southern Town juniors|
Perth and Kinross	Scotland	1	3	2		6	Loch Leven|	Loch Leven juniors|Perth juniors|MacRosty juniors|	Perth|Faskally Forest|	
Powys	Wales		1	4		5		Hafan Yr Afon juniors|	Newtown|Groe|Riverside Walk|Y Promenâd|	
Renfrewshire	Scotland	2	1			3	Linwood|Erskine Waterfront|	Barshaw juniors|		
Roscommon	Ireland			3	1	4			Lough Key|Castlerea|Strokestown|	Lough Key juniors|
Rutland	England	1			1	2	Rutland Water|			Rutland Water juniors|
Scottish Borders	Scotland	1		1	1	3	Hay Lodge|		Wallaceneuk|	Eyemouth Primary Playing Fields juniors|
Shetland Islands	Scotland	1				1	Bressay|			
Shropshire	England			5	2	7			Telford|Shrewsbury|Henley Wood, Oswestry|Severn Valley Country|Alderford Lake|	Shrewsbury juniors|Telford juniors|
Sligo	Ireland		1	2		3		Cleveragh juniors|	Sligo|Tubbercurry Trail|	
Somerset	England		4	14	5	23		Bath Odd Down juniors|Weston-super-Mare juniors|Yeovil Rec juniors|Yatton Recreation juniors|	Ashton Court|Bath Skyline|Shepton Mallet|Minehead|Longrun Meadow|Burnham and Highbridge|Street|Somerdale Pavilion|The Old Showfield|Clevedon Salthouse Fields|Sharpham Road Playing Fields|Marine Parade|Frogmary Green Farm|Five Arches|	Cheddar juniors|Longrun Meadow juniors|Collett Park juniors|Clevedon Seafront juniors|Golden Valley Playing Field juniors|
South Ayrshire	Scotland	1	1	2		4	Troon|	Prestwick Oval juniors|	Ayr|Girvan Prom|	
South Glamorgan	Wales			7	2	9			Cardiff|Barry Island|Grangemoor|Tremorfa|Cosmeston Lakes|Trelai Park|Llanishen Park|	Barry juniors|Cardiff juniors|
South Lanarkshire	Scotland		1	1		2		Strathaven juniors|	Lanark Moor|	
South Yorkshire	England	11	7	1	1	20	Endcliffe|Barnsley|Concord|Graves|Rotherham|Rother Valley|Hillsborough|Sheffield Castle|Sandall Park|Millhouses|Cusworth Hall|	Graves juniors|Barnsley juniors|Sheffield Olympic Legacy Park juniors|Hillsborough juniors|Rosehill Victoria juniors|Norfolk Heritage Park juniors|Millhouses juniors|	Penistone|	Sandall Park juniors|
Staffordshire	England		2	10	3	15		Burslem Park juniors|Beacon juniors|	Cannock Chase|Hanley|The Wammy|Isabel Trail|Chasewater|Beacon|Trentham Gardens|Bramshall Road|Tamworth Castle Grounds|Battlestead Croft|	Longton juniors|Cannock Chase Forest juniors|Clough Hall juniors|
Stirling	Scotland	2	1			3	Plean|University of Stirling|	Stirling juniors|		
Suffolk	England	15	8	2	1	26	Ipswich|Bury St Edmunds|Brandon Country Park|Clare Castle|Great Cornard|Kesgrave|Lowestoft|Felixstowe|Sizewell|Thomas Mills|Chilton Fields|Harleston Magpies|Alton Water|Rendlesham Forest|Mildenhall Hub|	Kesgrave juniors|Bury St Edmunds juniors|Ipswich juniors|Great Cornard juniors|Felixstowe Prom juniors|Stowmarket Recreation Ground juniors|Mildenhall Hub juniors|Ravenswood Primary School juniors|	Haverhill|Thornham Walks|	Castle Playing Fields juniors|
Surrey	England	9	5	3	3	20	Banstead Woods|Frimley Lodge|Guildford|Reigate Priory|Woking|Cranleigh|Mole Valley|Brooklands|Broadwater|	Laleham juniors|Woking juniors|Reigate Priory juniors|Savill Garden juniors|Cranleigh juniors|	Nonsuch|Homewood|Hazelwood|	Guildford juniors|Nonsuch juniors|Leatherhead juniors|
Tipperary	Ireland			5		5			Templemore|Clonmel|Knockanacree Woods|Borrisokane Town|Fethard Town|	
Tyne and Wear	England	9	1	4	4	18	Silksworth|Gateshead|Windy Nook|South Shields|Rising Sun|Herrington Country|Jesmond Dene|Denton Dene|Fulwell Quarry|	Town Moor juniors|	Town Moor|Whitley Bay|Leazes|Chopwell Wood|	Whitley Bay juniors|Saltwell juniors|North Marine juniors|Mowbray Park juniors|
Tyrone	Northern Ireland		1	4	2	7		Round Lake juniors|	MUSA Cookstown|Omagh|Dungannon Park|Holy Cross College|	Omagh Leisure Complex juniors|Washingbay Wetlands juniors|
Warwickshire	England	3	3	4	1	11	Leamington|Stratford-upon-Avon|Warwick Racecourse|	GEC Rec juniors|Stratford-upon-Avon Rec juniors|St Nicholas juniors|	Rugby|Kingsbury Water|Bedworth|Wolford Wood|	Riversley Park juniors|
Waterford	Ireland		1	2		3		Walton Park juniors|	Tramore|SETU Arena|	
West Dunbartonshire	Scotland	1	1			2	Levengrove|	Levengrove juniors|		
West Glamorgan	Wales			4	2	6			Swansea Bay|Gnoll|Brynaman|Cycle Route 43, Ystalyfera|	Gnoll juniors|Swansea Prom juniors|
West Lothian	Scotland	2	2	1		5	Livingston|Polkemmet Country|	Bankton Mains Park juniors|West Lothian Cycle Circuit juniors|	Auldcathie District|	
West Midlands	England	4	5	12	3	24	Coventry|Wolverhampton|Babbs Mill|Brunswick Park|	Wednesfield juniors|Stevens Park juniors|War Memorial Park juniors|Malvern Park juniors|Ward End juniors|	Dudley|Brueton|Cannon Hill|Walsall Arboretum|Sandwell Valley|Perry Hall|Sutton Park|Oaklands|East Park|Edgbaston Reservoir|Woodgate Valley Country Park|Holbrooks|	Bloxwich juniors|Cannon Hill juniors|Edgbaston Reservoir juniors|
West Sussex	England	5	3	6	4	18	Horsham|Tilgate|Clair|East Grinstead|Ifield Mill Pond|	Horsham juniors|Haywards Heath juniors|Worthing Leisure Centre juniors|	Bognor Regis|Chichester|Worthing|Lancing Beach Green|Littlehampton Prom|Wakehurst|	Bognor Regis juniors|Chichester juniors|Tilgate juniors|Mewsbrook juniors|
West Yorkshire	England	23	14	3	3	43	Wakefield Thornes|Halifax|Lister Park, Bradford|Pontefract|Rothwell|Huddersfield|Roundhay|Dewsbury|Temple Newsam|Cross Flatts|Wetherby|Horton Park|Bramley|Middleton Woods|Armley|Cliffe Castle|Myrtle|Potternewton|Frickley Country|Centre Vale|Bowling Park|Chevin Forest|Roberts Park|	Cross Flatts juniors|Roundhay juniors|Huddersfield juniors|Dewsbury juniors|Saltaire juniors|Tolson juniors|Bodington juniors|Wakefield Thornes juniors|Pontefract juniors|Beaumont Park juniors|Riverside Gardens juniors|Horsforth Hall juniors|Wilton Park juniors|People’s Park juniors, Halifax|	Woodhouse Moor|Oakwell Hall|Nostell|	Bramley juniors|Temple Newsam juniors|Harold Park juniors|
Western Isles	Scotland	1				1	Lews Castle|			
Westmeath	Ireland		1	1		2		The Old Rail Trail juniors|	Mullingar|	
Wexford	Ireland		1	3		4		Heritage Park juniors|	Wexford Racecourse|New Ross|Gorey|	
Wicklow	Ireland		1	3	1	5		Bray juniors|	Russborough|Tullow|Avondale Forest|	Arklow Duck Pond juniors|
Wiltshire	England	2	3	7	2	14	Lydiard|Chippenham|	Lydiard juniors|King George V juniors|Calne Recreation Ground juniors|	Southwick Country Park|Salisbury|Melksham|Marlborough Common|Seven Fields|Tidworth|Quakers Walk|	Chippenham juniors|Churchill Gardens juniors|
